648	882
248	595
340	526
544	148
803	620
662	904
88	673
423	699
460	192
626	906
762	271
630	556
425	244
108	729
825	832
36	745
442	98
970	384
750	827
444	108
1000	396
342	732
370	199
667	986
204	334
47	288
64	162
137	960
565	136
52	23
970	687
233	800
609	290
71	867
720	976
350	958
552	340
152	537
778	829
801	870
797	837
872	717
853	342
325	259
928	687
412	773
627	68
181	252
701	566
968	361
867	866
573	282
670	590
440	123
168	140
785	382
735	632
65	447
268	991
59	230
823	293
744	520
360	989
258	780
941	311
136	854
413	898
885	268
591	243
600	357
826	765
166	366
820	203
519	265
754	745
680	19
799	225
203	952
401	371
881	182
56	504
789	181
786	766
44	200
798	698
779	366
735	829
839	568
734	789
163	741
982	315
104	295
943	138
444	704
553	842
511	856
920	668
716	675
913	886
631	655
